Temperature,Humidity,SoilMoisture
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,0
25,16,19
25,16,41
25,16,33
25,16,43
25,16,0
25,16,0
25,16,0
26,20,33
26,20,33
26,21,34
26,21,35
27,33,34
28,61,0
28,61,0
28,66,0
28,67,0
28,68,8
28,70,0
28,73,0
29,73,0
28,74,0
28,74,0
29,73,0
29,74,0
28,74,0
28,74,0
28,74,0
28,73,0
28,73,0
28,72,0
28,72,0
28,72,0
28,72,0
